# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  8 14:40:44 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_radestr not null
# CONSTRAINT:  and pl_massestr not null)
#
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
#
pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
18.647,,,0,2543.00000,1271.00000,-636.00000,0
16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0
1.920,0.080,-0.080,0,8.08000,0.31000,-0.31000,0
1.910,0.080,-0.080,0,8.08000,0.31000,-0.31000,0
2.080,0.160,-0.170,0,7.81000,0.58000,-0.53000,0
1.897,0.044,-0.046,0,7.74000,0.37000,-0.30000,0
1.947,0.038,-0.038,0,8.59000,0.43000,-0.43000,0
2.173,0.097,-0.098,0,8.37000,0.38000,-0.38000,0
2.000,0.140,-0.140,0,8.63000,0.35000,-0.35000,0
1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0
4.070,0.170,-0.170,0,17.00000,5.00000,-5.00000,0
3.240,0.160,-0.160,0,13.60000,11.40000,-11.40000,0
2.230,0.140,-0.110,0,16.30000,6.00000,-6.10000,0
2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0
14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0
20.849,0.560,-0.560,0,2479.06157,222.47988,-254.26273,0
12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0
24.660,9.080,-6.730,0,5403.00000,1907.00000,-1907.00000,0
19.223,0.336,-0.336,0,390.93090,31.78300,-31.78300,0
16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0
17.385,0.729,-0.729,0,327.36490,31.78300,-31.78300,0
15.917,2.690,-2.690,0,340.07810,54.03110,-54.03110,0
16.589,0.673,-0.673,0,359.14790,22.24810,-22.24810,0
10.873,0.785,-0.785,0,867.67590,44.49620,-44.49620,0
10.870,0.780,-0.780,0,874.00000,50.85000,-50.85000,0
10.548,0.953,-0.953,0,883.56740,47.67450,-47.67450,0
16.029,0.336,-0.336,0,832.71460,187.51970,-197.05460,0
15.984,0.650,-0.650,0,743.72220,123.95370,-123.95370,0
15.581,0.370,-0.370,0,791.39670,85.81410,-85.81410,0
16.030,0.340,-0.340,0,740.51000,108.06000,-108.06000,0
15.132,0.841,-0.841,0,281.91521,25.10857,-25.10857,0
16.140,1.460,-1.460,0,291.43800,22.24700,-20.65800,0
16.141,1.457,-1.457,0,290.81445,22.56593,-21.93027,0
15.065,0.829,-0.796,0,277.46559,25.74423,-24.79074,0
14.034,0.852,-0.852,0,416.99296,30.51168,-30.51168,0
9.920,0.157,-0.157,0,415.70400,20.97600,-20.97600,0
9.920,0.157,-0.157,0,423.03173,23.20159,-23.20159,0
12.220,0.780,-0.780,0,2415.40000,190.70000,-190.70000,0
12.218,0.785,-0.785,0,2358.29860,149.38010,-149.38010,0
11.411,0.886,-0.886,0,2437.75610,158.91500,-158.91500,0
13.115,1.569,-1.793,0,168.13207,31.14734,-30.51168,0
13.110,1.790,-1.570,0,170.03200,27.01400,-26.37900,0
11.430,0.780,-0.780,0,772.29000,95.34000,-95.34000,0
11.433,0.785,-0.785,0,765.97030,85.81410,-82.63580,0
11.287,3.867,-1.031,0,781.86180,82.63580,-76.27920,0
14.684,2.018,-2.018,0,1099.69180,120.77540,-120.77540,0
12.846,0.437,-0.538,0,1048.83900,60.38770,-60.38770,0
14.022,0.930,-0.930,0,1039.30410,54.03110,-54.03110,0
14.680,2.020,-2.020,0,1102.82000,120.77000,-120.77000,0
13.339,2.914,-0.773,0,346.43470,29.55819,-24.79074,0
14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0
14.460,0.336,-0.336,0,367.09365,22.88376,-22.88376,0
15.850,0.717,-0.717,0,1052.01730,50.85280,-50.85280,0
16.432,0.471,-0.493,0,1102.82000,69.92000,-69.92000,0
16.477,0.359,-0.359,0,1150.54460,50.85280,-50.85280,0
16.432,0.471,-0.493,0,1048.83900,60.38770,-57.20940,0
16.365,0.347,-0.347,0,1134.65310,50.85280,-50.85280,0
16.421,0.325,-0.325,0,1051.97300,50.85100,-50.85100,0
9.416,0.448,-0.448,0,1344.42090,82.63580,-79.45750,0
11.209,2.018,-2.354,0,1315.81620,114.41880,-95.34900,0
9.420,0.450,-0.450,0,1347.54000,73.10000,-73.10000,0
13.002,2.914,-2.914,0,1608.21980,114.41880,-114.41880,0
14.572,1.569,-1.569,0,705.58260,177.98480,-177.98480,0
14.572,1.569,-1.569,0,718.29580,98.52730,-98.52730,0
4.880,0.170,-0.390,0,12.20000,14.00000,-8.80000,0
13.227,2.130,-1.233,0,972.55980,101.70560,-98.52730,0
11.769,1.457,-1.457,0,982.09470,104.88390,-104.88390,0
11.770,1.460,-1.460,0,889.90000,95.30000,-95.30000,0
3.700,0.400,-0.400,0,5.70000,,,1
5.000,0.500,-0.500,0,28.00000,11.00000,-11.00000,0
12.106,3.363,-1.121,0,93.12419,19.38763,-19.06980,0
12.110,3.400,-1.120,0,85.81000,12.71000,-12.71000,0
14.123,1.457,-0.785,0,184.34140,63.56600,-34.96130,0
14.120,1.460,-0.780,0,165.26000,15.89000,-15.89000,0
11.287,0.493,-0.493,0,3273.64900,257.44230,-263.79890,0
11.287,0.493,-0.493,0,3302.11000,174.80000,-174.80000,0
10.705,0.740,-0.740,0,153.82972,27.65121,-27.65121,0
10.705,0.740,-0.740,0,152.87623,17.79848,-17.79848,0
10.088,1.793,-1.793,0,266.97720,41.31790,-38.13960,0
10.088,1.793,-1.793,0,270.15550,63.56600,-63.56600,0
11.135,0.650,-0.650,0,6747.53090,260.62060,-187.51970,0
11.624,0.773,-0.773,0,6979.54680,222.48100,-222.48100,0
11.320,0.780,-0.780,0,6883.91000,317.80000,-317.80000,0
11.321,0.785,-0.785,0,6814.27520,305.11680,-308.29510,0
11.310,0.852,-0.852,0,921.70700,69.92260,-69.92260,0
16.365,3.363,-3.363,0,266.97720,108.06220,-108.06220,0
18.831,1.233,-1.233,0,349.61125,117.59651,-117.59651,0
15.805,1.569,-1.569,0,216.12332,149.37935,-136.66622,1
13.340,0.670,-0.560,0,228.83000,25.43000,-25.43000,0
13.339,0.616,-0.616,0,223.43449,22.56593,-23.20159,0
13.002,1.300,-0.471,0,232.33373,22.88376,-23.51942,0
15.558,0.516,-0.527,0,151.92274,11.12405,-11.12405,0
15.558,0.516,-0.527,0,148.42000,14.93700,-7.62800,0
13.249,1.143,-1.098,0,149.38010,18.43414,-10.17056,0
14.079,0.516,-0.504,0,145.88397,16.84499,-10.17056,0
13.283,0.471,-0.471,0,940.77680,108.06220,-108.06220,0
13.070,0.392,-0.392,0,937.59850,88.99240,-88.99240,0
13.068,0.392,-0.392,0,940.74000,108.06000,-108.06000,0
1.681,0.112,-0.112,0,4.07661,1.01982,-1.01982,0
1.861,0.482,-0.482,0,6.99226,1.58915,-1.58915,0
1.585,0.064,-0.064,0,5.74000,0.86000,-0.86000,0
1.580,0.100,-0.100,0,4.60000,1.10000,-1.20000,0
1.528,0.065,-0.065,0,6.05600,0.65300,-0.65300,0
1.680,0.090,-0.090,0,21.00000,,,1
6.389,0.224,-0.224,0,69.28694,10.48839,-13.03103,0
6.390,0.220,-0.220,0,69.92000,9.53000,-9.53000,0
7.981,0.942,-0.942,0,68.65128,11.44188,-11.44188,0
6.938,0.179,-0.191,0,69.28694,10.80622,-10.80622,0
11.770,0.450,-0.450,0,266.97000,22.25000,-22.25000,0
